,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,26,6,.813,-1.56,-8.03,14,4,13,2,10,4,2381,2022,,1290,848,1801,.471,242,625,.387,443,618,.717,315,1061,499,275,88,385,606
2,Air Force,32,14,18,.438,-3.88,0.63,8,10,9,6,3,9,2179,2294,,1300,802,1777,.451,234,712,.329,341,503,.678,253,1077,434,154,57,423,543
3,Akron,33,17,16,.515,5.23,1.45,8,10,14,3,1,10,2271,2107,,1325,797,1948,.409,297,929,.320,380,539,.705,312,1204,399,185,106,388,569
4,Alabama A&M,32,5,27,.156,-19.18,-8.34,4,14,4,7,0,18,1938,2285,,1295,736,1807,.407,182,576,.316,284,453,.627,314,1025,384,234,49,487,587
5,Alabama-Birmingham,34,20,14,.588,0.86,-1.24,10,8,11,5,6,5,2392,2287,,1370,879,1938,.454,227,675,.336,407,607,.671,353,1237,395,215,80,388,559
6,Alabama State,31,12,19,.387,-15.61,-7.85,9,9,8,3,3,13,2086,2235,,1250,712,1763,.404,216,674,.320,446,684,.652,365,1094,313,203,102,451,565
7,Alabama,33,18,15,.545,10.27,9.78,8,10,10,5,4,8,2369,2353,,1320,827,1876,.441,233,688,.339,482,722,.668,368,1241,401,152,154,449,560
8,Albany (NY),32,12,20,.375,-9.12,-6.45,7,9,6,8,6,10,2150,2216,,1300,728,1750,.416,274,790,.347,420,564,.745,294,1083,402,195,78,454,566
9,Alcorn State,31,10,21,.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,,1245,709,1721,.412,211,646,.327,366,543,.674,334,1079,391,229,107,492,548
10,American,30,15,15,.500,-3.96,-6.99,9,9,8,7,6,8,2161,2070,,1220,780,1643,.475,190,583,.326,411,589,.698,251,1013,401,221,131,386,520
11,Appalachian State,32,11,21,.344,-3.55,0.28,6,12,9,5,2,12,2557,2539,,1290,880,1938,.454,292,814,.359,505,706,.715,310,1126,406,171,89,418,585
12,Arizona State,32,22,10,.688,10.52,5.77,12,6,13,3,6,5,2490,2338,,1300,851,1903,.447,232,680,.341,556,829,.671,389,1283,435,199,103,434,635
13,Arizona,32,17,15,.531,8.39,6.39,8,10,12,5,4,7,2269,2205,,1290,794,1861,.427,235,699,.336,446,620,.719,324,1116,397,165,73,370,594
14,Little Rock,31,10,21,.323,-4.59,-1.79,5,13,7,9,3,12,2301,2353,,1250,817,1687,.484,206,581,.355,461,703,.656,244,1060,443,169,87,503,622
15,Arkansas-Pine Bluff,32,13,19,.406,-14.44,-8.18,10,8,8,2,4,17,2108,2269,,1300,719,1685,.427,194,574,.338,476,702,.678,317,1063,365,216,108,478,629
16,Arkansas State,32,13,19,.406,-6.74,-0.87,7,11,10,4,2,13,2359,2475,,1310,796,1904,.418,237,709,.334,530,721,.735,403,1211,363,183,139,448,684
17,Arkansas,32,17,15,.531,11.93,9.05,8,10,12,6,4,7,2415,2323,,1290,845,1892,.447,241,703,.343,484,728,.665,328,1075,502,261,152,425,646
18,Army,32,13,19,.406,-7.30,-4.46,8,10,10,4,3,13,2268,2305,,1280,837,1956,.428,272,864,.315,322,471,.684,259,1125,499,198,50,376,544
19,Auburn,33,24,9,.727,19.80,9.58,11,7,15,2,4,6,2636,2258,,1330,905,2015,.449,368,983,.374,458,643,.712,402,1156,478,302,160,413,608
20,Austin Peay,33,22,11,.667,0.61,-4.39,13,5,10,2,8,7,2712,2413,,1335,973,2060,.472,268,702,.382,498,705,.706,397,1215,454,252,110,392,595
21,Ball State,33,16,17,.485,3.78,1.59,6,12,7,7,8,7,2478,2362,,1340,889,1892,.470,202,621,.325,498,709,.702,308,1243,426,217,119,480,580
22,Baylor,32,19,13,.594,12.90,8.43,10,8,13,5,5,6,2293,2150,,1285,816,1853,.440,254,748,.340,407,604,.674,428,1222,443,196,152,424,599
23,Belmont,31,26,5,.839,8.61,-3.59,16,2,13,1,12,3,2710,2290,,1250,987,1976,.499,325,870,.374,411,557,.738,275,1205,616,212,117,360,481
24,Bethune-Cookman,31,14,17,.452,-11.77,-9.53,9,7,11,4,3,12,2290,2245,,1250,833,1899,.439,204,635,.321,420,689,.610,415,1273,443,234,108,501,610
25,Binghamton,33,10,23,.303,-13.66,-4.44,5,11,5,11,5,12,2152,2376,,1320,793,1842,.431,275,788,.349,291,452,.644,244,1060,324,183,152,409,474
26,Boise State,33,13,20,.394,3.90,1.37,7,11,8,7,3,10,2364,2263,,1330,845,1801,.469,252,715,.352,422,584,.723,242,1016,398,200,68,379,569
27,Boston College,31,14,17,.452,6.60,8.53,5,13,10,8,2,8,2196,2256,,1260,768,1808,.425,218,687,.317,442,633,.698,331,1137,382,159,103,378,509
28,Boston University,33,15,18,.455,-6.35,-5.14,7,11,7,7,8,10,2385,2387,,1325,922,1922,.480,221,639,.346,320,468,.684,311,1091,447,199,73,425,578
29,Bowling Green State,33,22,11,.667,4.65,0.71,12,6,14,2,5,8,2595,2409,,1330,917,2063,.444,265,736,.360,496,740,.670,390,1348,421,223,87,399,579
30,Bradley,34,20,14,.588,-0.23,-1.41,9,9,10,6,5,8,2264,2209,,1365,790,1822,.434,231,632,.366,453,654,.693,311,1169,410,183,128,430,595
31,Brigham Young,32,19,13,.594,6.53,3.69,11,5,13,3,5,8,2527,2436,,1295,878,1877,.468,226,684,.330,545,750,.727,263,1116,482,203,107,354,626
32,Brown,30,19,11,.633,-0.05,-3.37,7,7,12,3,7,8,2209,2045,,1210,759,1714,.443,231,685,.337,460,649,.709,255,1099,385,229,114,427,565
33,Bryant,30,10,20,.333,-14.93,-7.39,7,11,8,6,2,13,2088,2314,,1200,709,1680,.422,230,708,.325,440,618,.712,285,969,319,158,79,383,575
34,Bucknell,33,21,12,.636,0.82,-2.69,13,5,12,3,7,8,2534,2418,,1325,867,1928,.450,311,885,.351,489,653,.749,286,1154,519,173,116,409,627
35,Buffalo,33,30,3,.909,15.95,2.13,16,2,14,0,12,3,2801,2325,,1325,1004,2170,.463,312,935,.334,481,698,.689,422,1361,558,243,133,393,601
36,Butler,32,16,16,.500,9.84,8.56,7,11,12,4,2,9,2298,2257,,1290,835,1877,.445,280,799,.350,348,472,.737,280,1032,418,188,61,351,570
37,Cal Poly,29,6,23,.207,-13.63,-3.23,2,14,4,8,1,14,1930,2183,,1185,706,1715,.412,225,687,.328,293,452,.648,284,975,301,147,99,334,544
38,Cal State Bakersfield,31,16,15,.516,-4.61,-2.00,7,9,9,4,5,9,2211,2207,,1255,811,1896,.428,212,638,.332,377,565,.667,446,1155,359,205,98,410,684
39,Cal State Fullerton,32,16,16,.500,-2.06,-0.96,10,6,9,3,4,11,2315,2256,,1305,829,1810,.458,177,549,.322,480,687,.699,261,1162,392,189,110,426,602
40,Cal State Northridge,33,13,20,.394,-6.33,-3.33,7,9,7,9,4,10,2517,2609,,1335,936,2026,.462,227,621,.366,418,656,.637,338,1180,491,209,151,403,616
41,California Baptist,30,16,14,.533,-3.74,-4.01,7,9,8,6,8,6,2348,2185,,1220,816,1813,.450,280,779,.359,436,557,.783,298,1131,339,146,82,364,610
42,UC-Davis,31,11,20,.355,-5.90,-1.14,7,9,7,6,3,12,2038,2128,,1260,735,1673,.439,203,619,.328,365,515,.709,218,928,375,196,71,412,596
43,UC-Irvine,34,29,5,.853,5.37,-2.91,15,1,12,2,13,2,2459,2152,,1380,911,2003,.455,228,646,.353,409,590,.693,403,1374,448,192,147,403,632
44,UC-Riverside,33,10,23,.303,-10.83,-2.89,4,12,7,7,2,14,2153,2279,,1325,793,1787,.444,279,741,.377,288,421,.684,281,1051,426,164,60,425,561
45,UC-Santa Barbara,32,22,10,.688,-1.32,-5.25,10,6,12,3,7,6,2350,2114,,1290,825,1818,.454,204,594,.343,496,693,.716,379,1204,431,159,106,355,559
46,University of California,31,8,23,.258,-3.01,5.57,3,15,7,9,1,10,2121,2387,,1245,739,1735,.426,207,592,.350,436,603,.723,249,899,335,227,98,352,573
47,Campbell,32,20,12,.625,-3.45,-4.76,12,4,12,4,5,7,2426,2244,,1285,840,1843,.456,307,892,.344,439,580,.757,260,1023,469,209,103,325,510
48,Canisius,32,15,17,.469,-8.55,-4.61,11,7,5,8,9,5,2250,2376,,1295,798,1834,.435,256,791,.324,398,575,.692,300,1026,466,204,108,412,626
49,Central Arkansas,33,14,19,.424,-10.98,-4.42,8,10,8,5,5,13,2383,2498,,1330,810,1903,.426,276,784,.352,487,667,.730,299,1164,463,202,120,478,611
50,Central Connecticut State,31,11,20,.355,-13.74,-6.43,5,13,5,7,5,12,2205,2367,,1260,754,1821,.414,201,612,.328,496,634,.782,332,1107,353,172,110,427,598
51,Central Florida,31,23,8,.742,12.58,4.74,13,5,15,2,5,5,2236,1993,,1245,765,1652,.463,211,596,.354,495,767,.645,300,1139,411,178,139,367,524
52,Central Michigan,34,23,11,.676,3.48,-0.20,10,8,13,4,7,5,2810,2590,,1385,959,2113,.454,294,793,.371,598,888,.673,412,1292,448,258,105,412,579
53,Charleston Southern,32,17,15,.531,-2.18,-4.21,9,7,11,4,4,10,2439,2230,,1290,871,2032,.429,317,901,.352,380,562,.676,390,1200,459,252,106,414,537
54,Charlotte,29,8,21,.276,-8.02,-0.57,5,13,5,9,3,9,1776,1992,,1160,598,1441,.415,191,615,.311,389,524,.742,199,892,288,138,101,418,490
55,Chattanooga,32,12,20,.375,-7.52,-0.42,7,11,8,6,4,11,2268,2376,,1285,833,1881,.443,290,795,.365,312,457,.683,278,1096,419,139,79,409,553
56,Chicago State,32,3,29,.094,-24.38,1.12,0,16,3,8,0,19,1970,2710,,1280,718,1749,.411,141,468,.301,393,582,.675,249,993,373,193,72,512,625
57,Cincinnati,32,26,6,.813,14.33,4.70,14,4,16,2,7,4,2303,1995,,1290,797,1839,.433,214,613,.349,495,698,.709,406,1151,438,203,143,340,515
58,Citadel,30,12,18,.400,-7.69,0.27,4,14,8,7,4,10,2553,2584,,1210,899,2010,.447,370,1076,.344,385,523,.736,322,1107,463,201,110,386,528
59,Clemson,32,19,13,.594,15.10,9.89,9,9,13,4,4,6,2209,2042,,1280,791,1747,.453,207,629,.329,420,572,.734,286,1134,394,208,139,427,528
